,age,gender,time_spent,platform,interests,location,demographics
38,24,non-binary,1,Instagram,Lifestlye,United States,Rural
39,38,non-binary,5,Instagram,Sports,Australia,Sub_Urban
40,26,female,4,Instagram,Sports,United Kingdom,Sub_Urban
41,56,female,8,Instagram,Sports,Australia,Urban
42,35,female,1,Instagram,Lifestlye,Australia,Urban
43,21,male,9,Instagram,Travel,United States,Rural
44,42,male,6,YouTube,Travel,Australia,Sub_Urban
45,31,female,4,Instagram,Travel,United Kingdom,Urban
46,26,male,9,Facebook,Travel,Australia,Rural
47,43,female,5,Instagram,Sports,Australia,Sub_Urban
48,19,non-binary,5,Instagram,Sports,Australia,Sub_Urban
49,37,female,5,YouTube,Lifestlye,United States,Rural
50,45,non-binary,1,YouTube,Lifestlye,United Kingdom,Rural
51,64,male,1,Facebook,Travel,United States,Urban
52,24,female,8,Facebook,Sports,United States,Sub_Urban
53,61,male,8,YouTube,Travel,United States,Sub_Urban
54,25,non-binary,6,YouTube,Lifestlye,United States,Sub_Urban
55,64,non-binary,4,Instagram,Lifestlye,United States,Rural
56,52,non-binary,2,YouTube,Travel,United Kingdom,Urban
57,31,male,2,Facebook,Lifestlye,Australia,Sub_Urban
58,34,male,9,Instagram,Travel,United States,Rural
59,53,male,5,Facebook,Sports,United States,Sub_Urban
60,57,male,4,Instagram,Travel,United Kingdom,Urban
61,21,non-binary,1,YouTube,Sports,United Kingdom,Sub_Urban
62,19,non-binary,7,Facebook,Sports,Australia,Urban
63,23,female,3,Instagram,Lifestlye,United Kingdom,Urban
64,59,female,6,Instagram,Lifestlye,Australia,Sub_Urban
65,21,male,5,YouTube,Lifestlye,United States,Sub_Urban
66,46,non-binary,5,YouTube,Travel,United States,Urban
67,35,non-binary,5,YouTube,Travel,Australia,Rural
68,43,non-binary,1,Facebook,Lifestlye,United Kingdom,Urban
69,61,female,1,Instagram,Travel,Australia,Sub_Urban
70,51,female,3,YouTube,Lifestlye,United Kingdom,Sub_Urban
71,27,non-binary,4,Facebook,Travel,United States,Rural
72,53,non-binary,5,Facebook,Sports,United Kingdom,Urban
73,31,non-binary,2,Facebook,Sports,Australia,Urban
74,48,female,8,YouTube,Lifestlye,Australia,Urban
75,32,non-binary,2,YouTube,Travel,United States,Sub_Urban
76,25,non-binary,9,Instagram,Travel,United Kingdom,Urban
77,31,male,2,Instagram,Sports,United Kingdom,Rural
78,40,male,9,YouTube,Sports,United Kingdom,Sub_Urban
79,57,female,7,Facebook,Lifestlye,United States,Sub_Urban
80,38,non-binary,8,Facebook,Sports,United Kingdom,Urban
81,33,non-binary,2,Facebook,Lifestlye,Australia,Rural
82,62,male,7,Instagram,Sports,United Kingdom,Sub_Urban
83,35,female,6,Facebook,Sports,United States,Sub_Urban
84,64,male,4,Instagram,Travel,United Kingdom,Urban
85,41,male,7,Instagram,Sports,United Kingdom,Urban
86,43,male,4,Facebook,Sports,Australia,Rural
87,42,male,2,Facebook,Lifestlye,United Kingdom,Urban
88,62,non-binary,7,YouTube,Sports,Australia,Rural
89,58,non-binary,8,YouTube,Lifestlye,Australia,Sub_Urban
90,46,male,2,Facebook,Sports,United States,Rural
91,32,female,5,Instagram,Sports,Australia,Rural
92,62,female,1,Instagram,Lifestlye,Australia,Rural
93,18,female,7,Instagram,Travel,United States,Sub_Urban
94,42,female,8,Instagram,Lifestlye,Australia,Urban
95,24,male,6,Instagram,Lifestlye,United States,Sub_Urban
96,26,non-binary,5,YouTube,Lifestlye,United Kingdom,Urban
97,41,female,6,Facebook,Travel,United States,Rural
98,18,male,2,YouTube,Sports,Australia,Rural
99,61,female,1,Instagram,Lifestlye,United States,Rural
100,25,female,7,Instagram,Lifestlye,Australia,Rural
101,41,male,7,Instagram,Travel,United Kingdom,Rural
102,28,non-binary,2,Instagram,Lifestlye,United States,Urban
103,34,non-binary,2,Facebook,Sports,United Kingdom,Urban
104,25,male,1,Instagram,Travel,Australia,Rural
105,52,non-binary,8,Facebook,Sports,Australia,Sub_Urban
106,52,male,8,Instagram,Sports,United Kingdom,Sub_Urban
107,50,male,1,Facebook,Travel,United States,Rural
108,22,male,8,YouTube,Lifestlye,United States,Urban
109,59,non-binary,9,Instagram,Sports,Australia,Sub_Urban
110,56,male,4,Facebook,Sports,United Kingdom,Sub_Urban
111,58,female,1,YouTube,Sports,United Kingdom,Sub_Urban
112,45,non-binary,1,Instagram,Sports,United States,Rural
113,24,non-binary,3,Instagram,Travel,United States,Sub_Urban
114,26,non-binary,5,Instagram,Travel,United States,Sub_Urban
115,25,non-binary,5,Facebook,Sports,United Kingdom,Sub_Urban
116,29,female,9,Facebook,Lifestlye,United States,Sub_Urban
117,51,non-binary,2,YouTube,Sports,United States,Urban
118,50,non-binary,2,Facebook,Lifestlye,Australia,Rural
119,40,male,6,Facebook,Sports,United States,Rural
120,41,non-binary,9,Instagram,Lifestlye,United States,Urban
121,54,female,1,Instagram,Sports,United Kingdom,Urban
122,52,female,9,Instagram,Lifestlye,United Kingdom,Rural
123,61,female,9,Instagram,Sports,Australia,Sub_Urban
124,57,female,9,Instagram,Sports,United States,Sub_Urban
125,39,non-binary,5,Instagram,Lifestlye,Australia,Rural
126,44,non-binary,9,Instagram,Travel,United Kingdom,Sub_Urban
127,52,female,4,YouTube,Lifestlye,Australia,Urban
128,18,female,2,YouTube,Travel,United Kingdom,Sub_Urban
129,52,non-binary,6,YouTube,Sports,Australia,Sub_Urban
130,54,female,4,YouTube,Lifestlye,Australia,Sub_Urban
131,64,male,6,Instagram,Lifestlye,United States,Rural
132,31,female,3,YouTube,Lifestlye,Australia,Urban
133,20,female,6,Instagram,Travel,United States,Sub_Urban
134,18,male,2,YouTube,Travel,United States,Rural
135,22,male,2,Facebook,Sports,United States,Sub_Urban
136,43,non-binary,9,YouTube,Travel,United States,Urban
137,31,non-binary,7,YouTube,Travel,Australia,Sub_Urban
138,56,male,3,Instagram,Sports,United Kingdom,Urban
139,44,male,1,YouTube,Lifestlye,United Kingdom,Sub_Urban
140,26,non-binary,8,Facebook,Lifestlye,United Kingdom,Urban
141,32,female,6,Instagram,Sports,Australia,Sub_Urban
142,32,male,7,Instagram,Lifestlye,United States,Urban
143,43,non-binary,9,YouTube,Travel,United Kingdom,Sub_Urban
144,59,female,5,Instagram,Sports,Australia,Sub_Urban
145,30,male,1,Instagram,Sports,United States,Rural
146,49,female,7,Instagram,Sports,United Kingdom,Rural
147,56,non-binary,5,Instagram,Lifestlye,United States,Urban
148,49,male,3,Instagram,Sports,United Kingdom,Sub_Urban
149,21,female,9,Instagram,Sports,United Kingdom,Urban
150,47,male,1,Facebook,Sports,United Kingdom,Rural
151,54,female,1,YouTube,Lifestlye,United States,Urban
152,40,non-binary,1,Facebook,Travel,Australia,Urban
153,56,non-binary,3,Instagram,Sports,United States,Rural
154,62,male,6,Instagram,Travel,United Kingdom,Sub_Urban
155,32,female,3,YouTube,Lifestlye,United States,Urban
156,60,male,8,Facebook,Lifestlye,Australia,Rural
157,46,male,2,YouTube,Lifestlye,United States,Sub_Urban
158,53,female,9,Facebook,Lifestlye,Australia,Rural
159,30,female,3,Instagram,Travel,Australia,Urban
160,49,female,5,YouTube,Sports,United States,Sub_Urban
161,24,non-binary,8,YouTube,Lifestlye,United Kingdom,Sub_Urban
162,39,male,2,Instagram,Lifestlye,Australia,Rural
163,45,male,6,YouTube,Travel,United States,Rural
164,19,non-binary,5,Facebook,Travel,Australia,Rural
165,59,female,9,Facebook,Lifestlye,United Kingdom,Sub_Urban
166,62,non-binary,5,Facebook,Sports,United States,Sub_Urban
167,23,non-binary,2,Facebook,Sports,United States,Urban
168,45,non-binary,5,Instagram,Lifestlye,United States,Sub_Urban
169,45,male,4,YouTube,Travel,United Kingdom,Urban
170,61,non-binary,7,Facebook,Lifestlye,Australia,Rural
171,61,male,6,Instagram,Lifestlye,United States,Rural
172,37,male,2,YouTube,Travel,Australia,Sub_Urban
173,47,male,5,YouTube,Lifestlye,Australia,Rural
174,28,female,7,Instagram,Lifestlye,United Kingdom,Rural
175,45,male,7,Instagram,Lifestlye,United States,Sub_Urban
176,42,male,5,Facebook,Travel,Australia,Urban
177,56,female,9,YouTube,Sports,United States,Sub_Urban
178,50,male,4,YouTube,Sports,United States,Urban
179,18,non-binary,3,Instagram,Travel,United Kingdom,Sub_Urban
180,44,non-binary,4,YouTube,Sports,United States,Sub_Urban
181,30,male,5,Facebook,Lifestlye,United States,Rural
182,58,female,6,YouTube,Sports,Australia,Sub_Urban
183,20,non-binary,3,Instagram,Lifestlye,United Kingdom,Sub_Urban
184,56,female,2,Instagram,Sports,United States,Urban
185,23,female,4,Facebook,Travel,Australia,Rural
186,25,non-binary,5,Facebook,Sports,United Kingdom,Urban
187,44,female,4,YouTube,Sports,United Kingdom,Urban
188,26,non-binary,3,YouTube,Sports,Australia,Rural
189,54,female,8,Instagram,Travel,Australia,Rural
190,50,non-binary,4,Facebook,Sports,Australia,Rural
191,59,male,2,Facebook,Travel,Australia,Sub_Urban
192,61,non-binary,2,Facebook,Lifestlye,Australia,Rural
193,41,non-binary,1,YouTube,Sports,United States,Rural
194,32,non-binary,4,Facebook,Travel,United States,Rural
195,49,non-binary,9,Instagram,Travel,United Kingdom,Urban
196,49,female,7,Instagram,Sports,United States,Urban
197,41,male,7,YouTube,Lifestlye,United States,Sub_Urban
198,58,non-binary,7,YouTube,Travel,United States,Urban
199,29,female,8,Facebook,Sports,Australia,Sub_Urban
200,56,male,1,YouTube,Lifestlye,United Kingdom,Urban
201,19,male,8,Instagram,Travel,United Kingdom,Rural
202,20,male,4,Facebook,Travel,United Kingdom,Urban
203,54,male,4,Instagram,Lifestlye,United Kingdom,Sub_Urban
204,34,non-binary,4,Facebook,Lifestlye,United States,Urban
205,19,non-binary,6,YouTube,Sports,United States,Rural
206,19,female,7,Facebook,Sports,Australia,Sub_Urban
207,45,female,6,Facebook,Travel,United Kingdom,Rural
208,40,female,1,Instagram,Lifestlye,United States,Rural
209,54,male,8,Instagram,Lifestlye,United States,Sub_Urban
210,49,male,7,Facebook,Lifestlye,Australia,Rural
211,50,non-binary,6,YouTube,Travel,Australia,Rural
212,18,male,6,YouTube,Lifestlye,Australia,Urban
213,36,male,5,Instagram,Lifestlye,United States,Rural
214,19,male,6,YouTube,Travel,United States,Rural
215,61,female,9,Instagram,Sports,Australia,Rural
216,43,female,9,YouTube,Sports,United Kingdom,Rural
217,49,non-binary,8,Facebook,Travel,Australia,Sub_Urban
218,23,male,9,Instagram,Lifestlye,Australia,Urban
219,49,male,8,Instagram,Travel,Australia,Rural
220,21,non-binary,8,Facebook,Sports,Australia,Rural
221,28,male,1,Instagram,Sports,United States,Sub_Urban
222,34,male,5,YouTube,Travel,United Kingdom,Rural
223,55,female,4,YouTube,Travel,Australia,Sub_Urban
224,41,non-binary,2,Instagram,Sports,United Kingdom,Urban
225,22,non-binary,8,YouTube,Travel,United Kingdom,Urban
226,51,non-binary,3,Instagram,Sports,United Kingdom,Rural
227,23,non-binary,4,Facebook,Travel,Australia,Rural
228,39,female,7,Instagram,Travel,United States,Rural
229,28,female,9,Facebook,Travel,Australia,Sub_Urban
230,33,male,2,YouTube,Sports,United Kingdom,Rural
231,50,male,3,Facebook,Travel,United Kingdom,Rural
232,26,male,4,YouTube,Sports,United States,Urban
233,23,male,1,Instagram,Sports,Australia,Rural
234,33,female,7,YouTube,Travel,United Kingdom,Urban
235,46,non-binary,2,Instagram,Travel,United States,Rural
236,20,female,5,Instagram,Sports,United Kingdom,Urban
237,37,male,1,Facebook,Sports,United States,Rural
238,53,female,3,Facebook,Lifestlye,United States,Urban
239,36,non-binary,2,Facebook,Sports,Australia,Sub_Urban
240,43,non-binary,1,Facebook,Lifestlye,United Kingdom,Urban
241,20,female,7,YouTube,Lifestlye,Australia,Urban
242,36,female,5,YouTube,Lifestlye,United Kingdom,Urban
243,37,female,1,YouTube,Travel,Australia,Rural
244,49,male,6,Instagram,Travel,United Kingdom,Rural
245,24,female,5,YouTube,Sports,Australia,Rural
246,58,female,3,YouTube,Lifestlye,United States,Sub_Urban
247,50,female,7,YouTube,Travel,United Kingdom,Sub_Urban
248,57,non-binary,9,Facebook,Travel,United Kingdom,Urban
249,56,non-binary,9,YouTube,Travel,United States,Sub_Urban
250,35,male,9,Instagram,Travel,Australia,Urban
251,57,male,2,Facebook,Travel,United Kingdom,Urban
252,18,non-binary,3,Instagram,Lifestlye,United Kingdom,Urban
253,28,non-binary,7,YouTube,Lifestlye,Australia,Sub_Urban
254,45,non-binary,5,Facebook,Lifestlye,United States,Rural
255,42,female,2,Instagram,Lifestlye,Australia,Sub_Urban
256,40,female,3,YouTube,Sports,Australia,Urban
257,48,non-binary,6,Instagram,Lifestlye,Australia,Urban
258,47,female,7,Instagram,Travel,United Kingdom,Sub_Urban
259,59,female,9,Instagram,Lifestlye,United States,Urban
260,52,male,1,YouTube,Sports,United States,Urban
261,24,non-binary,7,YouTube,Travel,Australia,Sub_Urban
262,33,non-binary,8,Instagram,Lifestlye,United Kingdom,Sub_Urban
263,43,female,3,Facebook,Lifestlye,Australia,Sub_Urban
264,19,non-binary,4,Facebook,Lifestlye,United Kingdom,Urban
265,18,male,6,YouTube,Travel,United Kingdom,Urban
266,29,male,7,YouTube,Travel,United Kingdom,Rural
267,22,male,4,YouTube,Sports,United Kingdom,Rural
268,54,non-binary,8,YouTube,Travel,United States,Sub_Urban
269,49,non-binary,5,YouTube,Travel,United Kingdom,Rural
270,26,non-binary,1,Facebook,Lifestlye,United Kingdom,Urban
271,58,non-binary,4,YouTube,Travel,Australia,Rural
272,52,non-binary,3,Instagram,Lifestlye,Australia,Urban
273,36,male,9,Instagram,Lifestlye,United States,Sub_Urban
274,33,female,8,Facebook,Travel,Australia,Sub_Urban
275,20,male,1,Instagram,Sports,United Kingdom,Urban
276,37,non-binary,6,Facebook,Sports,Australia,Rural
277,41,male,9,Facebook,Travel,United States,Sub_Urban
278,50,non-binary,7,Instagram,Sports,Australia,Sub_Urban
279,41,non-binary,4,YouTube,Lifestlye,Australia,Rural
280,28,male,1,Instagram,Lifestlye,United States,Rural
281,25,non-binary,2,Instagram,Travel,United States,Urban
282,53,female,5,Facebook,Sports,United Kingdom,Rural
283,55,non-binary,5,Instagram,Sports,Australia,Rural
284,57,female,8,Facebook,Lifestlye,United Kingdom,Rural
285,37,female,6,YouTube,Travel,Australia,Urban
286,52,non-binary,8,YouTube,Sports,Australia,Urban
287,42,male,2,YouTube,Travel,United Kingdom,Sub_Urban
288,52,female,3,Instagram,Sports,Australia,Urban
289,42,male,6,Facebook,Lifestlye,Australia,Sub_Urban
290,46,female,3,YouTube,Lifestlye,Australia,Rural
291,35,non-binary,6,Facebook,Travel,United States,Sub_Urban
292,63,non-binary,6,Facebook,Lifestlye,United Kingdom,Sub_Urban
293,35,female,2,YouTube,Sports,United States,Rural
294,19,non-binary,7,YouTube,Lifestlye,United Kingdom,Sub_Urban
295,52,female,2,Facebook,Travel,United Kingdom,Urban
296,33,non-binary,6,YouTube,Travel,Australia,Urban
297,58,male,1,Facebook,Travel,United Kingdom,Urban
298,53,non-binary,3,Facebook,Sports,United States,Urban
299,50,male,2,YouTube,Sports,United States,Sub_Urban
300,21,non-binary,7,Instagram,Sports,United States,Sub_Urban
301,50,male,4,YouTube,Sports,United Kingdom,Rural
302,31,non-binary,8,Instagram,Sports,United States,Sub_Urban
303,38,male,6,Facebook,Lifestlye,United Kingdom,Sub_Urban
304,37,female,4,Facebook,Sports,United States,Sub_Urban
305,25,female,5,Instagram,Sports,United States,Rural
306,24,male,9,Facebook,Lifestlye,United Kingdom,Urban
307,20,non-binary,7,Instagram,Sports,United States,Sub_Urban
308,34,male,9,Instagram,Travel,Australia,Rural
309,50,non-binary,7,Facebook,Sports,United Kingdom,Rural
310,29,female,1,Instagram,Sports,United Kingdom,Rural
311,39,non-binary,8,YouTube,Travel,United Kingdom,Urban
312,39,female,4,YouTube,Travel,Australia,Sub_Urban
313,63,non-binary,3,Facebook,Travel,United Kingdom,Rural
314,47,non-binary,7,Facebook,Travel,United States,Urban
315,55,non-binary,3,Instagram,Sports,United States,Rural
316,55,male,8,Instagram,Travel,United States,Rural
317,62,male,6,Instagram,Travel,United Kingdom,Rural
318,25,female,5,Instagram,Lifestlye,United States,Rural
319,44,female,4,YouTube,Travel,United Kingdom,Rural
320,44,male,8,YouTube,Travel,United States,Urban
321,51,female,8,Facebook,Lifestlye,Australia,Sub_Urban
322,38,male,1,Instagram,Lifestlye,Australia,Sub_Urban
323,47,non-binary,9,Instagram,Sports,Australia,Sub_Urban
324,50,female,5,Facebook,Lifestlye,Australia,Sub_Urban
325,45,female,4,Instagram,Sports,United Kingdom,Urban
326,64,male,6,Instagram,Lifestlye,United States,Urban
327,50,female,6,Instagram,Lifestlye,Australia,Urban
328,22,female,2,Instagram,Sports,United Kingdom,Rural
329,36,non-binary,8,Instagram,Lifestlye,Australia,Rural
330,21,female,7,Facebook,Sports,Australia,Rural
331,52,non-binary,1,Instagram,Lifestlye,United Kingdom,Sub_Urban
332,34,male,5,Facebook,Travel,United Kingdom,Rural
333,61,female,6,Instagram,Lifestlye,United States,Sub_Urban
334,45,non-binary,4,YouTube,Sports,United States,Rural
335,47,male,2,YouTube,Lifestlye,Australia,Sub_Urban
336,46,female,4,YouTube,Sports,Australia,Rural
337,63,male,1,YouTube,Sports,United States,Rural
338,23,female,7,Facebook,Travel,United States,Urban
339,52,male,2,Facebook,Travel,United Kingdom,Rural
340,58,male,2,Instagram,Sports,United States,Rural
341,54,non-binary,9,YouTube,Lifestlye,United States,Urban
342,41,male,5,Facebook,Sports,Australia,Sub_Urban
343,46,female,2,Instagram,Sports,United States,Urban
344,63,female,9,Instagram,Lifestlye,Australia,Urban
345,48,non-binary,9,Facebook,Lifestlye,United States,Sub_Urban
346,52,female,1,YouTube,Lifestlye,United Kingdom,Rural
347,50,female,3,Instagram,Lifestlye,United States,Sub_Urban
348,38,female,4,YouTube,Sports,United States,Rural
349,49,male,7,YouTube,Sports,United States,Rural
350,40,male,4,YouTube,Travel,Australia,Sub_Urban
351,50,female,2,Instagram,Sports,United Kingdom,Urban
352,20,non-binary,7,YouTube,Lifestlye,United States,Sub_Urban
353,35,male,6,Instagram,Travel,Australia,Rural
354,42,non-binary,3,YouTube,Lifestlye,United Kingdom,Sub_Urban
355,59,female,6,Instagram,Sports,Australia,Sub_Urban
356,48,female,6,YouTube,Travel,Australia,Rural
357,20,male,5,Facebook,Lifestlye,United Kingdom,Urban
358,57,female,4,YouTube,Travel,United States,Sub_Urban
359,63,male,1,YouTube,Travel,Australia,Rural
360,41,female,6,Instagram,Sports,Australia,Rural
361,49,female,2,Instagram,Lifestlye,United States,Sub_Urban
362,64,male,3,YouTube,Travel,United States,Urban
363,39,male,8,Facebook,Travel,United Kingdom,Sub_Urban
364,40,male,6,Facebook,Lifestlye,United Kingdom,Urban
365,19,female,3,Instagram,Travel,United Kingdom,Urban
366,44,female,7,Facebook,Travel,United States,Urban
367,59,non-binary,4,YouTube,Travel,Australia,Urban
368,19,male,9,Instagram,Lifestlye,Australia,Sub_Urban
369,43,female,5,YouTube,Lifestlye,United Kingdom,Rural
370,34,female,3,Instagram,Lifestlye,United States,Rural
371,57,male,2,Instagram,Lifestlye,Australia,Rural
372,50,non-binary,2,Instagram,Sports,United Kingdom,Rural
373,26,male,3,Instagram,Travel,Australia,Rural
374,60,non-binary,2,Facebook,Lifestlye,Australia,Rural
375,56,female,4,YouTube,Travel,United States,Sub_Urban
376,46,non-binary,2,YouTube,Travel,United States,Urban
377,59,female,9,YouTube,Sports,Australia,Rural
378,43,male,2,Instagram,Lifestlye,United Kingdom,Sub_Urban
379,52,male,9,Facebook,Lifestlye,United States,Rural
380,42,male,6,YouTube,Travel,Australia,Rural
381,41,non-binary,1,Facebook,Lifestlye,United States,Urban
382,30,female,4,Instagram,Travel,United States,Urban
383,24,male,1,YouTube,Travel,United States,Urban
384,53,male,6,Facebook,Sports,Australia,Rural
385,62,female,4,Instagram,Sports,United Kingdom,Rural
386,37,male,3,Facebook,Sports,United Kingdom,Rural
387,18,female,3,YouTube,Travel,United Kingdom,Urban
388,25,female,9,YouTube,Lifestlye,United States,Sub_Urban
389,63,female,6,Instagram,Sports,Australia,Rural
390,33,female,9,Instagram,Lifestlye,United States,Rural
391,31,female,5,Instagram,Sports,United Kingdom,Rural
392,29,non-binary,2,Facebook,Sports,United Kingdom,Sub_Urban
393,40,male,8,Facebook,Travel,Australia,Rural
394,32,non-binary,5,Facebook,Sports,United States,Sub_Urban
395,45,male,2,Instagram,Sports,United Kingdom,Rural
396,51,non-binary,4,YouTube,Travel,Australia,Sub_Urban
397,19,female,9,YouTube,Lifestlye,United States,Rural
398,49,male,4,Facebook,Sports,United States,Urban
399,40,male,4,Facebook,Travel,United Kingdom,Urban
400,39,non-binary,2,YouTube,Sports,United Kingdom,Urban
401,42,non-binary,6,YouTube,Travel,United States,Urban
402,39,male,2,Facebook,Lifestlye,United States,Rural
403,39,non-binary,7,Facebook,Lifestlye,United Kingdom,Urban
404,59,non-binary,3,YouTube,Travel,United States,Sub_Urban
405,23,non-binary,3,Instagram,Travel,United Kingdom,Urban
406,32,female,5,Facebook,Travel,United States,Urban
407,60,female,3,YouTube,Lifestlye,United Kingdom,Urban
408,54,non-binary,2,YouTube,Sports,Australia,Rural
409,50,non-binary,9,YouTube,Lifestlye,United Kingdom,Urban
410,25,female,2,YouTube,Travel,United Kingdom,Sub_Urban
411,61,female,2,Instagram,Travel,Australia,Urban
412,61,male,8,YouTube,Lifestlye,United States,Urban
413,22,male,9,Facebook,Travel,Australia,Urban
414,56,female,7,Instagram,Lifestlye,United Kingdom,Sub_Urban
415,21,non-binary,3,YouTube,Travel,United States,Urban
416,23,non-binary,9,Instagram,Sports,Australia,Sub_Urban
417,62,non-binary,3,Facebook,Sports,United States,Sub_Urban
418,49,non-binary,5,YouTube,Travel,United States,Urban
419,47,male,9,Facebook,Lifestlye,Australia,Sub_Urban
420,64,female,3,YouTube,Sports,United States,Rural
421,52,non-binary,7,YouTube,Lifestlye,Australia,Urban
422,57,male,1,YouTube,Travel,United Kingdom,Urban
423,33,non-binary,4,YouTube,Lifestlye,United States,Sub_Urban
424,30,female,4,YouTube,Sports,United Kingdom,Sub_Urban
425,59,male,7,Instagram,Lifestlye,United Kingdom,Urban
426,47,female,8,YouTube,Lifestlye,United States,Rural
427,36,female,1,YouTube,Travel,Australia,Sub_Urban
428,34,male,5,Instagram,Travel,United States,Sub_Urban
429,36,male,7,Instagram,Travel,United Kingdom,Rural
430,45,male,4,Instagram,Sports,United Kingdom,Rural
431,43,male,4,Instagram,Sports,Australia,Urban
432,54,male,4,Instagram,Travel,United States,Rural
433,43,male,6,Instagram,Travel,United Kingdom,Urban
434,40,male,7,YouTube,Sports,United Kingdom,Rural
435,26,non-binary,2,YouTube,Sports,United Kingdom,Sub_Urban
436,29,female,5,Facebook,Sports,Australia,Urban
437,18,male,4,YouTube,Sports,United Kingdom,Urban
438,18,non-binary,3,YouTube,Travel,United Kingdom,Urban
439,64,non-binary,7,Instagram,Sports,United States,Rural
440,51,non-binary,6,Instagram,Travel,United States,Sub_Urban
441,49,female,7,YouTube,Lifestlye,United Kingdom,Urban
442,42,male,5,Facebook,Lifestlye,United Kingdom,Urban
443,57,non-binary,6,Instagram,Sports,United States,Urban
444,62,female,5,YouTube,Lifestlye,Australia,Urban
445,18,female,7,YouTube,Lifestlye,Australia,Sub_Urban
446,33,female,2,Facebook,Lifestlye,Australia,Rural
447,56,non-binary,5,Facebook,Sports,Australia,Sub_Urban
448,22,male,6,Instagram,Sports,Australia,Urban
449,39,non-binary,6,Facebook,Lifestlye,Australia,Sub_Urban
450,46,non-binary,5,YouTube,Travel,Australia,Urban
451,20,male,7,YouTube,Lifestlye,Australia,Rural
452,29,male,8,Facebook,Sports,United States,Rural
453,43,male,7,Facebook,Sports,Australia,Rural
454,33,female,5,Facebook,Sports,Australia,Urban
455,54,male,1,Facebook,Lifestlye,Australia,Sub_Urban
456,39,non-binary,5,Instagram,Travel,United Kingdom,Rural
457,46,male,2,Facebook,Sports,United States,Urban
458,31,non-binary,5,Instagram,Sports,United States,Urban
459,45,female,5,YouTube,Lifestlye,United States,Sub_Urban
460,22,non-binary,2,Facebook,Travel,Australia,Rural
461,64,non-binary,5,Instagram,Lifestlye,Australia,Urban
462,47,male,4,Facebook,Sports,United Kingdom,Sub_Urban
463,63,male,1,YouTube,Travel,United States,Rural
464,22,non-binary,3,YouTube,Travel,Australia,Sub_Urban
465,29,male,1,YouTube,Sports,United States,Sub_Urban
466,33,female,5,Facebook,Travel,United Kingdom,Urban
467,43,female,4,Facebook,Travel,United Kingdom,Urban
468,43,male,7,Instagram,Lifestlye,United Kingdom,Urban
469,38,female,5,YouTube,Sports,United States,Sub_Urban
470,56,male,4,Facebook,Sports,Australia,Urban
471,53,non-binary,2,YouTube,Sports,Australia,Sub_Urban
472,50,non-binary,4,YouTube,Sports,United Kingdom,Sub_Urban
473,47,female,2,Instagram,Sports,Australia,Urban
474,54,male,8,Instagram,Travel,United Kingdom,Rural
475,40,male,3,Instagram,Lifestlye,United States,Rural
476,27,female,9,Instagram,Sports,United Kingdom,Rural
477,22,non-binary,4,YouTube,Lifestlye,United States,Sub_Urban
478,53,female,6,Instagram,Lifestlye,United Kingdom,Sub_Urban
479,51,non-binary,5,Instagram,Travel,Australia,Sub_Urban
480,48,male,1,Instagram,Sports,Australia,Urban
